Basin,MSE,R2,MAE,RMSE,Explained Variance,"Percent of Predicted
Within 15 Percent of Actual"
Appalachian,1290.1074525155984,0.6468967955656348,22.344169555318725,35.91806582369934,0.6581426903935358,46.56488549618321
Permian,3903.239456306899,0.2324272706476127,13.426660931229181,62.47591100821899,0.24467634250578996,61.855670103092784
Oklahoma_Platform,218.97203679651298,0.3029197740972318,10.266606312930193,14.797703767696966,0.3268988755534349,27.450980392156865
Gulf_Coast,623.9108668364942,0.889696829116658,10.797268391790292,24.978207838764057,0.8959678408071527,67.97752808988764
Williston,166.63068735409647,0.9277054576593218,7.205318617184646,12.908550939361724,0.9285612483868071,60.396039603960396
Michigan,71.198360363601,0.8218818319030754,6.330401276699879,8.437912085557718,0.8331452646026376,36.666666666666664
Pacific,5.5566499169565,0.46339863014771343,1.1170636194361192,2.357254741634111,0.46624546168559733,37.93103448275862
Illinois,147.73314122531286,0.22733706282468702,10.174472877196877,12.154552284033866,0.32009388334219113,0.0
Great_Plains,40188.68167960897,-0.07723589312225432,57.07328894914632,200.47114924499476,0.006303787101307856,92.3076923076923
Anadarko,2476.15143237454,0.7512677701890136,19.663740766737515,49.76094284049027,0.7517356938969341,69.81132075471697
Rocky_Mountain,45.17873031794486,0.7893928875736024,2.941376490280457,6.72151250225311,0.7894114917303131,53.23741007194245
Fort_Worth,875.5117890484414,0.28560851286282796,17.27755650297619,29.58904846473508,0.4060030224052018,50.0
